hwids 20170715-1
hwloc 1.11.7-1
hyphen 2.8.8-1
i3-wm 4.14-1
i3lock 2.9.1-2
i3status 2.11-3
iana-etc 20170824-1
icedtea-web 1.6.2-2
icu 59.1-2
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.12-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inkscape 0.92.2-2
inputproto 2.3.2-1
intel-tbb 2017_20170604-1
intellij-idea-community-edition 2:2017.2.2-1
iproute2 4.13.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipython 5.3.0-1
ipython2 5.3.0-1
ipython2-notebook 4.1.0-6
iso-codes 3.75-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.13-2
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.13-1
jdk7-openjdk 7.u151_2.6.11-1
jdk8-openjdk 8.u144-1
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jq 1.5-5
jre7-openjdk 7.u151_2.6.11-1
jre7-openjdk-headless 7.u151_2.6.11-1
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
js 24.2.0-4
json-c 0.12.1-1
json-glib 1.2.8-1
jsoncpp 1.8.1-1
jupyter 4.1.0-6
jupyter-nbconvert 5.1.1-1
jupyter-nbformat 4.4.0-1
jupyter-notebook 5.0.0-1
jupyter-widgetsnbextension 1:2.0.0-1
jupyter_console 5.1.0-1
karchive 5.38.0-1
kauth 5.38.0-1
kbd 2.0.4-1
kbookmarks 5.38.0-1
kbproto 1.0.7-1
kcachegrind 17.08.1-1
kcmutils 5.38.0-1
kcodecs 5.38.0-1
kcompletion 5.38.0-1
kconfig 5.38.0-1
kconfigwidgets 5.38.0-1
kcoreaddons 5.38.0-1
kcrash 5.38.0-1
kdbusaddons 5.38.0-1
kdebase-runtime 17.08.1-1
kdeclarative 5.38.0-1
kdelibs 4.14.36-1
kdepimlibs4 4.14.10-11
keepass 2.36-1
keepassx 0.4.4-2
keyutils 1.5.10-1
kglobalaccel 5.38.0-1
kguiaddons 5.38.0-1
ki18n 5.38.0-1
kiconthemes 5.38.0-1
kinit 5.38.0-1
kio 5.38.0-1
kitemviews 5.38.0-1
kjobwidgets 5.38.0-1
kmod 24-1
knewstuff 5.38.0-1
knotifications 5.38.0-1
kpackage 5.38.0-1
kparts 5.38.0-1
kqtquickcharts 17.08.1-1
krb5 1.15.1-1
kservice 5.38.0-1
ktexteditor 5.38.0-1
ktextwidgets 5.38.0-1
ktouch 17.08.1-1
kwallet 5.38.0-1
kwidgetsaddons 5.38.0-1
kwindowsystem 5.38.0-1
kxmlgui 5.38.0-1
ladspa 1.13-6
lame 3.99.5-3
lapack 3.7.1-2
lcms 1.19-5
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
less 487-1
lib32-acl 2.2.52-2
lib32-attr 2.4.47-1
lib32-gcc-libs 7.2.0-1
lib32-glibc 2.26-2
lib32-icu 59.1-1
lib32-libcap 2.25-1
lib32-libgcrypt 1.7.8-1
lib32-libgpg-error 1.27-1
lib32-libidn 1.33-1
lib32-libusb 1.0.21-1
lib32-libxml2 2.9.4+16+g07418011-1
lib32-ncurses 6.0+20170527-2
lib32-readline 7.0.003-1
lib32-systemd 233.75-2
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.1-2
libaio 0.3.110-1
